id,review_title,review,pros,cons,rating,job_status,position,company,year
3520,Enjoyed my time,the work environment is good and the people are great,good benefits and a good environment,nothing serious to note. large place so things move slowly,5,Current Employee,Systems Administrator,Company E,2014
3521,Solid employer,a great company with a good culture,lots of opportunity to grow. good benefits and a good environment,the busy period can stretch,4,Former Employee,Software Engineer,Company C,2019
3522,Great place to work,good career opportunities across a strong organisation. the client work developed my career,a supportive organisation. career development is taken seriously. strong culture and real career opportunities,a large organisation moves slowly,5,Current Employee,Network Engineer,Company F,2018
3523,Great place to work,the culture and the technology gave me a career path. the client work developed my career,a supportive organisation. career development is taken seriously,a large organisation moves slowly. career progress can be slow,5,Former Employee,Business Analyst,Company G,2013
3524,Not what was promised,management expects a lot and gives little support,a few good supervisors. one decent team lead,management lacks the skill. poor management and no leadership,1,Former Employee,Business Analyst,Company E,2018
3525,Enjoyed my time,a typical day was enjoyable and i learned something new,enjoyed the daily work. learned a lot from the team,some days were long,4,Current Employee,Customer Service Representative,Company D,2017
3526,Good culture,the culture and the technology gave me a career path,good technology and interesting clients. strong culture and real career opportunities,career progress can be slow,5,Former Employee,Team Lead,Company I,2018
3527,Would recommend,worked in the call center office helping people on the phone,a helpful office and a clean center,the call center office felt dated,4,Former Employee,Technical Support Specialist,Company K,2014
3528,Solid employer,the office and the computer setup shaped the day. worked in the call center office helping people on the phone,comfortable office and a short commute,the call center office felt dated,5,Current Employee,Senior Consultant,Company D,2018
3529,Enjoyed my time,the work environment is good and the people are great,lots of opportunity to grow. good work environment,large place so things move slowly,5,Current Employee,Project Manager,Company J,2020
3530,Not what was promised,"no job security, they let people go without warning",good benefits while they lasted. the pay arrived on time. decent pay at the start,layoffs come round every year,2,Current Employee,Technical Support Specialist,Company B,2018
3531,Good culture,good career opportunities across a strong organisation. the client work developed my career,a supportive organisation. good technology and interesting clients,a large organisation moves slowly. career progress can be slow,5,Current Employee,Business Analyst,Company J,2012
3532,Poor management,the supervisor and upper management were the problem,one decent team lead,poor management and no leadership,1,Current Employee,Data Analyst,Company I,2020
3533,Would recommend,the work environment is good and the people are great. good place with real opportunity,lots of opportunity to grow,nothing serious to note. large place so things move slowly,5,Current Employee,Team Lead,Company A,2019
3534,Good company,good career opportunities across a strong organisation. the culture and the technology gave me a career path,a supportive organisation. strong culture and real career opportunities,a large organisation moves slowly,5,Former Employee,Technical Support Specialist,Company K,2017
3535,Good and bad,handled calls all day with a short break,you learn the systems quickly,low pay for a long day of calls. short break between calls,3,Former Employee,Business Analyst,Company E,2020
3536,Good company,the work environment is good and the people are great,great opportunity to learn. good people and a strong work environment,little to complain about. large place so things move slowly,5,Former Employee,Team Lead,Company G,2020
3537,Depends on the team,handled calls all day with a short break. the training was good but the day is call after call,the health cover was fine. you learn the systems quickly. good training when you start,short break between calls. long hour shifts with a short lunch,3,Current Employee,Team Lead,Company C,2016
3538,Good and bad,the company cut people every year and the pay never changed. layoffs and low pay defined my time there,good benefits while they lasted. the pay arrived on time,job security disappeared after the change,3,Former Employee,Business Analyst,Company E,2020
3539,Good culture,great environment and good people to learn from. the work environment is good and the people are great,great culture and great people,little to complain about,5,Current Employee,Systems Administrator,Company E,2015
3540,Great place to work,the work environment is good and the people are great,lots of opportunity to grow. great place to work,little to complain about. nothing serious to note,5,Former Employee,Software Engineer,Company F,2019
3541,Enjoyed my time,the client work developed my career,strong culture and real career opportunities. career development is taken seriously. good technology and interesting clients,a large organisation moves slowly. career progress can be slow,5,Former Employee,Senior Consultant,Company H,2013
3542,Good culture,provided customer support on the service product. supported the project team and delivered the service,clear role and steady service work. clear process and a supportive project team. good project structure,too much process for a small project. the process is slow,4,Current Employee,Data Analyst,Company G,2015
3543,Solid employer,a great company with a good culture. the work environment is good and the people are great,great culture and great people,the busy period can stretch. nothing serious to note,4,Current Employee,Business Analyst,Company J,2019
3544,Enjoyed my time,good place with real opportunity,great benefits and a good place,nothing serious to note. the busy period can stretch,5,Former Employee,Team Lead,Company H,2019
3545,Poor management,the company cut people every year and the pay never changed,the pay arrived on time,no pay raise while costs climbed,2,Current Employee,Software Engineer,Company H,2017
3546,Not what was promised,the company cut people every year and the pay never changed,good benefits while they lasted. the pay arrived on time,job security disappeared after the change. low pay for the hours asked,1,Former Employee,Project Manager,Company G,2018
3547,Good company,a great company with a good culture. good place with real opportunity,lots of opportunity to grow,large place so things move slowly,5,Current Employee,Software Engineer,Company J,2020
3548,Good culture,the work environment is good and the people are great,good work environment. great culture and great people. great place to work,nothing serious to note. large place so things move slowly,5,Former Employee,Technical Support Specialist,Company K,2017
3549,Would recommend,good career opportunities across a strong organisation,good technology and interesting clients. a supportive organisation,a large organisation moves slowly,5,Current Employee,Business Analyst,Company K,2019
3550,Enjoyed my time,the culture and the technology gave me a career path,strong culture and real career opportunities,career progress can be slow,4,Former Employee,Senior Consultant,Company D,2012
3551,Great place to work,the client work developed my career,strong culture and real career opportunities,a large organisation moves slowly,4,Former Employee,Customer Service Representative,Company A,2016
3552,Good culture,enjoyed the work and learned every day,learned a lot from the team. enjoyed the daily work. the people made the day enjoyable,some days were long,5,Current Employee,Technical Support Specialist,Company H,2014
3553,Solid employer,a great company with a good culture. the work environment is good and the people are great,great benefits and a good place. great culture and great people. good benefits and a good environment,nothing serious to note,4,Current Employee,Team Lead,Company J,2016
3554,Good culture,"the most enjoyable part was the people, the hardest part was leaving. enjoyed the work and learned every day",enjoyed the daily work. learned a lot from the team. enjoyable typical day,the hardest part was the pace,5,Former Employee,Project Manager,Company G,2017
3555,Would recommend,good career opportunities across a strong organisation. the client work developed my career,career development is taken seriously,career progress can be slow,5,Current Employee,Team Lead,Company F,2020
3556,Average employer,the training was good but the day is call after call,good training when you start. the health cover was fine,long hour shifts with a short lunch,3,Former Employee,Customer Service Representative,Company E,2015
3557,Disappointing,"management expects a lot and gives little support. poor management, high stress and no team support",a few good supervisors. one decent team lead,management lacks the skill,1,Former Employee,Team Lead,Company K,2018
3558,Not what was promised,"management expects a lot and gives little support. poor management, high stress and no team support",one decent team lead. a few good supervisors,management lacks the skill. poor management and no leadership,2,Former Employee,Business Analyst,Company E,2018
3559,Avoid,"no job security, they let people go without warning. layoffs and low pay defined my time there",good benefits while they lasted. decent pay at the start. the pay arrived on time,no pay raise while costs climbed,2,Former Employee,Network Engineer,Company G,2018
3560,Depends on the team,supported the project team and delivered the service. managed the process and the product for the customer team,clear role and steady service work,the process is slow. too much process for a small project,3,Current Employee,Team Lead,Company D,2012
3561,Mixed experience,project work covering support and service delivery. managed the process and the product for the customer team,clear process and a supportive project team,the process is slow. too much process for a small project,3,Current Employee,Team Lead,Company E,2013
3562,Enjoyed my time,good place with real opportunity,great culture and great people. good people and a strong work environment. great benefits and a good place,large place so things move slowly. the busy period can stretch,5,Former Employee,Systems Administrator,Company I,2013
3563,Stressful and underpaid,handled calls all day with a short break,the health cover was fine. you learn the systems quickly. good training when you start,long hours on call with a short break. low pay for a long day of calls,2,Current Employee,Project Manager,Company B,2016
3564,Good company,"the most enjoyable part was the people, the hardest part was leaving. enjoyed the work and learned every day",learned a lot from the team. enjoyable typical day,the hardest part was the pace. some days were long,4,Current Employee,Customer Service Representative,Company A,2018
3565,Good culture,good career opportunities across a strong organisation. the client work developed my career,career development is taken seriously. a supportive organisation. good technology and interesting clients,a large organisation moves slowly,4,Former Employee,Project Manager,Company B,2018
3566,Disappointing,handled calls all day with a short break. the training was good but the day is call after call,good training when you start,long hour shifts with a short lunch. short break between calls,2,Former Employee,Business Analyst,Company G,2017
3567,Good culture,a great company with a good culture. the work environment is good and the people are great,great benefits and a good place. good people and a strong work environment. lots of opportunity to grow,large place so things move slowly. the busy period can stretch,5,Former Employee,Data Analyst,Company K,2016
3568,Enjoyed my time,a great company with a good culture. great environment and good people to learn from,good work environment,large place so things move slowly,4,Current Employee,Data Analyst,Company I,2017
3569,Stressful and underpaid,"poor management, high stress and no team support. management expects a lot and gives little support",one decent team lead,poor management with little direction,1,Current Employee,Business Analyst,Company H,2020
3570,Not what was promised,"layoffs and low pay defined my time there. no job security, they let people go without warning",the pay arrived on time. decent pay at the start,job security is poor. low pay and no raise for years,2,Current Employee,Software Engineer,Company A,2016
3571,Not what was promised,"no job security, they let people go without warning",decent pay at the start. the pay arrived on time,job security disappeared after the change. low pay for the hours asked,2,Current Employee,Data Analyst,Company D,2015
3572,Solid employer,supported the project team and delivered the service. provided customer support on the service product,good project structure. clear role and steady service work,the process is slow. too much process for a small project,4,Current Employee,Data Analyst,Company G,2018
3573,Great place to work,great environment and good people to learn from,good benefits and a good environment. lots of opportunity to grow. good people and a strong work environment,nothing serious to note,5,Former Employee,Team Lead,Company A,2017
3574,Mixed experience,"no job security, they let people go without warning. layoffs and low pay defined my time there",good benefits while they lasted,low pay and no raise for years,3,Former Employee,Customer Service Representative,Company A,2014
3575,Avoid,"no job security, they let people go without warning",the pay arrived on time. good benefits while they lasted. decent pay at the start,low pay and no raise for years. no pay raise while costs climbed,2,Former Employee,Software Engineer,Company J,2018
3576,Good company,supported the project team and delivered the service,clear role and steady service work. good project structure. clear process and a supportive project team,the process is slow,4,Current Employee,Network Engineer,Company I,2012
3577,Solid employer,the client work developed my career. good career opportunities across a strong organisation,career development is taken seriously. a supportive organisation. strong culture and real career opportunities,career progress can be slow,5,Former Employee,Software Engineer,Company K,2014
3578,Good culture,a great company with a good culture,great culture and great people. good work environment,the busy period can stretch,5,Former Employee,Systems Administrator,Company D,2017
3579,Good company,great environment and good people to learn from. good place with real opportunity,great opportunity to learn. lots of opportunity to grow. good benefits and a good environment,large place so things move slowly,5,Former Employee,Customer Service Representative,Company E,2016
3580,Solid employer,great environment and good people to learn from. the work environment is good and the people are great,great opportunity to learn. great culture and great people,large place so things move slowly. nothing serious to note,5,Former Employee,Systems Administrator,Company I,2012
3581,Good and bad,handled calls all day with a short break,you learn the systems quickly,short break between calls. low pay for a long day of calls,3,Current Employee,Network Engineer,Company A,2018
3582,Poor management,"the company cut people every year and the pay never changed. no job security, they let people go without warning",good benefits while they lasted,layoffs come round every year,2,Former Employee,Technical Support Specialist,Company H,2018
3583,Good company,a typical day was enjoyable and i learned something new,enjoyable typical day. the people made the day enjoyable,some days were long. the hardest part was the pace,4,Former Employee,Customer Service Representative,Company B,2012
3584,Good culture,good career opportunities across a strong organisation. the client work developed my career,good technology and interesting clients,a large organisation moves slowly. career progress can be slow,4,Current Employee,Business Analyst,Company K,2017
3585,Would recommend,good career opportunities across a strong organisation. the culture and the technology gave me a career path,a supportive organisation. strong culture and real career opportunities. good technology and interesting clients,a large organisation moves slowly. career progress can be slow,4,Former Employee,Software Engineer,Company J,2016
3586,Good company,the work environment is good and the people are great. good place with real opportunity,good work environment. great place to work,the busy period can stretch. nothing serious to note,4,Former Employee,Network Engineer,Company A,2013
3587,Great place to work,the work environment is good and the people are great,great benefits and a good place. good benefits and a good environment. lots of opportunity to grow,large place so things move slowly,5,Former Employee,Technical Support Specialist,Company C,2020
3588,Great place to work,good place with real opportunity. the work environment is good and the people are great,great opportunity to learn. great culture and great people,large place so things move slowly,5,Former Employee,Senior Consultant,Company G,2020
3589,Good culture,great environment and good people to learn from. the work environment is good and the people are great,great opportunity to learn. good people and a strong work environment,the busy period can stretch,4,Current Employee,Systems Administrator,Company E,2020
3590,Avoid,handled calls all day with a short break. the training was good but the day is call after call,you learn the systems quickly. good training when you start,long hours on call with a short break. low pay for a long day of calls,2,Former Employee,Senior Consultant,Company G,2020
3591,Enjoyed my time,the culture and the technology gave me a career path. good career opportunities across a strong organisation,career development is taken seriously,career progress can be slow,5,Current Employee,Data Analyst,Company K,2014
3592,Great place to work,good place with real opportunity,great culture and great people. good benefits and a good environment,the busy period can stretch. large place so things move slowly,4,Former Employee,Data Analyst,Company J,2015
3593,Solid employer,great environment and good people to learn from. the work environment is good and the people are great,great benefits and a good place. lots of opportunity to grow. good work environment,large place so things move slowly,4,Current Employee,Team Lead,Company F,2018
3594,Great place to work,the client work developed my career,good technology and interesting clients. career development is taken seriously. a supportive organisation,career progress can be slow. a large organisation moves slowly,4,Current Employee,Software Engineer,Company C,2017
3595,Would recommend,the office and the computer setup shaped the day,comfortable office and a short commute,the call center office felt dated,5,Former Employee,Systems Administrator,Company G,2017
3596,Stressful and underpaid,the training was good but the day is call after call,good training when you start,short break between calls,2,Former Employee,Customer Service Representative,Company I,2015
3597,Enjoyed my time,good place with real opportunity. a great company with a good culture,great place to work. good benefits and a good environment. lots of opportunity to grow,little to complain about,5,Current Employee,Network Engineer,Company H,2015
3598,Poor management,"the company cut people every year and the pay never changed. no job security, they let people go without warning",good benefits while they lasted. decent pay at the start. the pay arrived on time,constant layoffs every year,1,Former Employee,Business Analyst,Company D,2016
3599,Enjoyed my time,good place with real opportunity,great opportunity to learn. good people and a strong work environment. good benefits and a good environment,little to complain about. large place so things move slowly,5,Former Employee,Network Engineer,Company K,2013
3600,Mixed experience,supported the project team and delivered the service. project work covering support and service delivery,clear role and steady service work. clear process and a supportive project team. good project structure,the process is slow. too much process for a small project,3,Current Employee,Software Engineer,Company C,2014
3601,Would recommend,a great company with a good culture. great environment and good people to learn from,good people and a strong work environment. good work environment,nothing serious to note. the busy period can stretch,4,Former Employee,Team Lead,Company C,2020
3602,Enjoyed my time,a great company with a good culture,good people and a strong work environment. good benefits and a good environment,nothing serious to note,5,Former Employee,Team Lead,Company G,2019
3603,Good culture,great environment and good people to learn from,good work environment. great benefits and a good place,the busy period can stretch,5,Former Employee,Technical Support Specialist,Company G,2018
3604,Okay overall,long hours answering calls for low pay,good training when you start. you learn the systems quickly,long hours on call with a short break,3,Current Employee,Customer Service Representative,Company G,2017
3605,Stressful and underpaid,the training was good but the day is call after call. long hours answering calls for low pay,good training when you start. you learn the systems quickly,long hour shifts with a short lunch,2,Former Employee,Customer Service Representative,Company B,2020
3606,Would recommend,the work environment is good and the people are great. a great company with a good culture,great benefits and a good place. great opportunity to learn. good people and a strong work environment,nothing serious to note,5,Former Employee,Systems Administrator,Company C,2019
3607,Would recommend,the culture and the technology gave me a career path. good career opportunities across a strong organisation,career development is taken seriously. strong culture and real career opportunities,career progress can be slow. a large organisation moves slowly,4,Former Employee,Team Lead,Company D,2014
3608,Would recommend,the office and the computer setup shaped the day,good computer equipment,the call center office felt dated. the office equipment is old,4,Former Employee,Data Analyst,Company J,2016
3609,Good culture,enjoyed the work and learned every day,the people made the day enjoyable. enjoyed the daily work,some days were long. the hardest part was the pace,5,Current Employee,Project Manager,Company J,2018
3610,Mixed experience,long hours answering calls for low pay,you learn the systems quickly. the health cover was fine. good training when you start,low pay for a long day of calls. long hour shifts with a short lunch,3,Current Employee,Business Analyst,Company J,2014
3611,Enjoyed my time,supported the project team and delivered the service,good project structure. clear role and steady service work. clear process and a supportive project team,the process is slow,4,Current Employee,Software Engineer,Company G,2015
3612,Good company,enjoyed the work and learned every day,learned a lot from the team,some days were long,5,Former Employee,Team Lead,Company A,2016
3613,Average employer,the training was good but the day is call after call. handled calls all day with a short break,good training when you start. the health cover was fine. you learn the systems quickly,long hour shifts with a short lunch. short break between calls,3,Current Employee,Systems Administrator,Company C,2016
3614,Depends on the team,"no job security, they let people go without warning. the company cut people every year and the pay never changed",the pay arrived on time. decent pay at the start. good benefits while they lasted,constant layoffs every year,3,Former Employee,Data Analyst,Company D,2020
3615,Good company,enjoyed the work and learned every day,enjoyed the daily work. the people made the day enjoyable. enjoyable typical day,the hardest part was the pace. some days were long,4,Former Employee,Business Analyst,Company H,2014
3616,Okay overall,long hours answering calls for low pay,good training when you start. the health cover was fine,long hours on call with a short break,3,Current Employee,Senior Consultant,Company B,2018
3617,Solid employer,the work environment is good and the people are great,good work environment,the busy period can stretch,5,Former Employee,Business Analyst,Company D,2018
3618,Great place to work,project work covering support and service delivery,good project structure,the process is slow. too much process for a small project,4,Current Employee,Technical Support Specialist,Company D,2016
3619,Disappointing,"poor management, high stress and no team support. management expects a lot and gives little support",one decent team lead,no support from management,1,Current Employee,Technical Support Specialist,Company F,2016
3620,Not what was promised,the training was good but the day is call after call,you learn the systems quickly,low pay for a long day of calls,2,Current Employee,Software Engineer,Company K,2017
3621,Solid employer,the client work developed my career,career development is taken seriously. a supportive organisation,a large organisation moves slowly,4,Former Employee,Customer Service Representative,Company H,2017
3622,Depends on the team,long hours answering calls for low pay. the training was good but the day is call after call,you learn the systems quickly,long hours on call with a short break. low pay for a long day of calls,3,Current Employee,Team Lead,Company F,2015
3623,Poor management,"no job security, they let people go without warning. the company cut people every year and the pay never changed",decent pay at the start. the pay arrived on time,low pay and no raise for years,1,Current Employee,Systems Administrator,Company D,2015
3624,Good culture,great environment and good people to learn from. the work environment is good and the people are great,great place to work,little to complain about,5,Former Employee,Project Manager,Company J,2020
3625,Great place to work,good place with real opportunity. great environment and good people to learn from,good work environment,large place so things move slowly. little to complain about,5,Former Employee,Data Analyst,Company C,2016
3626,Great place to work,the culture and the technology gave me a career path. the client work developed my career,good technology and interesting clients. strong culture and real career opportunities. career development is taken seriously,career progress can be slow. a large organisation moves slowly,4,Current Employee,Customer Service Representative,Company A,2018
3627,Good culture,provided customer support on the service product,clear role and steady service work. clear process and a supportive project team. good project structure,the process is slow. too much process for a small project,4,Former Employee,Software Engineer,Company F,2012
3628,Solid employer,good place with real opportunity,good people and a strong work environment. great place to work. great culture and great people,large place so things move slowly. little to complain about,4,Former Employee,Technical Support Specialist,Company D,2016
3629,Would recommend,a great company with a good culture. great environment and good people to learn from,great place to work,large place so things move slowly,5,Current Employee,Data Analyst,Company F,2020
3630,Not what was promised,"no job security, they let people go without warning",the pay arrived on time. decent pay at the start. good benefits while they lasted,job security is poor. low pay for the hours asked,2,Current Employee,Systems Administrator,Company D,2020
3631,Would recommend,"a typical day was enjoyable and i learned something new. the most enjoyable part was the people, the hardest part was leaving",enjoyable typical day,some days were long. the hardest part was the pace,4,Former Employee,Technical Support Specialist,Company D,2019
3632,Would recommend,the work environment is good and the people are great,great opportunity to learn. great culture and great people. lots of opportunity to grow,little to complain about,4,Former Employee,Data Analyst,Company K,2016
3633,Solid employer,managed the process and the product for the customer team,good project structure,the process is slow,4,Current Employee,Network Engineer,Company A,2012
3634,Okay overall,the company cut people every year and the pay never changed,good benefits while they lasted. the pay arrived on time,low pay and no raise for years. low pay for the hours asked,3,Current Employee,Project Manager,Company H,2017
3635,Good company,the work environment is good and the people are great,good benefits and a good environment,little to complain about,4,Current Employee,Senior Consultant,Company D,2016
3636,Great place to work,the work environment is good and the people are great,lots of opportunity to grow,large place so things move slowly. little to complain about,5,Former Employee,Team Lead,Company I,2017
3637,Good culture,project work covering support and service delivery,clear process and a supportive project team. good project structure,the process is slow. too much process for a small project,4,Current Employee,Software Engineer,Company H,2018
3638,Good culture,worked in the call center office helping people on the phone. the office and the computer setup shaped the day,good computer equipment. comfortable office and a short commute. a helpful office and a clean center,the call center office felt dated. the office equipment is old,5,Former Employee,Systems Administrator,Company G,2019
3639,Poor management,"no job security, they let people go without warning",the pay arrived on time. good benefits while they lasted,no pay raise while costs climbed,2,Former Employee,Senior Consultant,Company A,2019
3640,Good and bad,long hours answering calls for low pay,you learn the systems quickly. the health cover was fine,long hour shifts with a short lunch,3,Former Employee,Technical Support Specialist,Company G,2013
3641,Would recommend,great environment and good people to learn from. a great company with a good culture,great place to work. great culture and great people. great benefits and a good place,large place so things move slowly,5,Former Employee,Senior Consultant,Company H,2016
3642,Good culture,a typical day was enjoyable and i learned something new. enjoyed the work and learned every day,the people made the day enjoyable. enjoyable typical day,the hardest part was the pace,5,Current Employee,Technical Support Specialist,Company H,2017
3643,Poor management,"poor management, high stress and no team support",one decent team lead,poor management with little direction. upper management expects too much,1,Former Employee,Systems Administrator,Company G,2018
3644,Enjoyed my time,worked in the call center office helping people on the phone,good computer equipment,the call center office felt dated,5,Current Employee,Team Lead,Company I,2013
3645,Good culture,the culture and the technology gave me a career path. the client work developed my career,good technology and interesting clients. a supportive organisation,a large organisation moves slowly. career progress can be slow,4,Current Employee,Project Manager,Company F,2015
3646,Average employer,long hours answering calls for low pay. handled calls all day with a short break,good training when you start,short break between calls,3,Current Employee,Software Engineer,Company D,2019
3647,Disappointing,"no job security, they let people go without warning. the company cut people every year and the pay never changed",good benefits while they lasted. the pay arrived on time. decent pay at the start,constant layoffs every year,2,Current Employee,Software Engineer,Company A,2019
3648,Poor management,handled calls all day with a short break,good training when you start,low pay for a long day of calls. long hour shifts with a short lunch,2,Current Employee,Team Lead,Company F,2014
3649,Not what was promised,the supervisor and upper management were the problem,a few good supervisors. one decent team lead,bad management and high stress,1,Former Employee,Customer Service Representative,Company K,2018
3650,Good company,"the most enjoyable part was the people, the hardest part was leaving",learned a lot from the team. enjoyable typical day. enjoyed the daily work,the hardest part was the pace. some days were long,5,Former Employee,Data Analyst,Company C,2020
3651,Mixed experience,layoffs and low pay defined my time there. the company cut people every year and the pay never changed,the pay arrived on time,layoffs come round every year. no pay raise while costs climbed,3,Former Employee,Customer Service Representative,Company K,2017
3652,Good company,enjoyed the work and learned every day. a typical day was enjoyable and i learned something new,the people made the day enjoyable,some days were long. the hardest part was the pace,5,Former Employee,Data Analyst,Company I,2014
3653,Solid employer,the culture and the technology gave me a career path. good career opportunities across a strong organisation,career development is taken seriously. a supportive organisation,a large organisation moves slowly. career progress can be slow,5,Current Employee,Data Analyst,Company F,2020
3654,Poor management,"no job security, they let people go without warning. the company cut people every year and the pay never changed",the pay arrived on time. good benefits while they lasted,layoffs come round every year,2,Former Employee,Data Analyst,Company D,2019
3655,Good culture,the office and the computer setup shaped the day. worked in the call center office helping people on the phone,a helpful office and a clean center. comfortable office and a short commute. good computer equipment,the call center office felt dated. the office equipment is old,4,Current Employee,Software Engineer,Company C,2016
3656,Enjoyed my time,"enjoyed the work and learned every day. the most enjoyable part was the people, the hardest part was leaving",learned a lot from the team. enjoyed the daily work,some days were long. the hardest part was the pace,5,Former Employee,Team Lead,Company F,2017
3657,Good culture,good place with real opportunity. the work environment is good and the people are great,good people and a strong work environment. great culture and great people,large place so things move slowly,5,Former Employee,Project Manager,Company I,2017
3658,Average employer,worked in the call center office helping people on the phone. the office and the computer setup shaped the day,comfortable office and a short commute. a helpful office and a clean center,the call center office felt dated,3,Current Employee,Team Lead,Company I,2019
3659,Great place to work,"the most enjoyable part was the people, the hardest part was leaving",learned a lot from the team,the hardest part was the pace,4,Former Employee,Technical Support Specialist,Company J,2013
3660,Avoid,the supervisor and upper management were the problem,one decent team lead. a few good supervisors,no support from management. poor management and no leadership,1,Former Employee,Team Lead,Company E,2020
3661,Avoid,the supervisor and upper management were the problem,one decent team lead. a few good supervisors,upper management expects too much. poor management with little direction,1,Current Employee,Software Engineer,Company G,2012
3662,Good culture,good place with real opportunity. great environment and good people to learn from,great benefits and a good place,nothing serious to note. the busy period can stretch,4,Former Employee,Team Lead,Company F,2014
3663,Good and bad,worked in the call center office helping people on the phone,comfortable office and a short commute,the call center office felt dated,3,Current Employee,Team Lead,Company A,2017
3664,Would recommend,supported the project team and delivered the service,good project structure. clear role and steady service work. clear process and a supportive project team,the process is slow. too much process for a small project,4,Former Employee,Customer Service Representative,Company J,2013
3665,Would recommend,a great company with a good culture. the work environment is good and the people are great,good people and a strong work environment. great culture and great people. lots of opportunity to grow,nothing serious to note. the busy period can stretch,5,Former Employee,Technical Support Specialist,Company C,2014
3666,Great place to work,a great company with a good culture. great environment and good people to learn from,great benefits and a good place,little to complain about,5,Former Employee,Business Analyst,Company D,2012
3667,Would recommend,good place with real opportunity. a great company with a good culture,good people and a strong work environment. good work environment,little to complain about. nothing serious to note,5,Current Employee,Software Engineer,Company B,2014
3668,Average employer,"no job security, they let people go without warning",the pay arrived on time. good benefits while they lasted. decent pay at the start,layoffs come round every year. job security disappeared after the change,3,Current Employee,Software Engineer,Company B,2012
3669,Would recommend,good place with real opportunity,good benefits and a good environment. good work environment,large place so things move slowly. little to complain about,5,Former Employee,Project Manager,Company C,2019
3670,Disappointing,"management expects a lot and gives little support. poor management, high stress and no team support",one decent team lead. a few good supervisors,bad management and high stress,1,Current Employee,Technical Support Specialist,Company E,2013
3671,Solid employer,the office and the computer setup shaped the day,a helpful office and a clean center. comfortable office and a short commute,the office equipment is old,5,Former Employee,Team Lead,Company D,2015
3672,Average employer,the training was good but the day is call after call. handled calls all day with a short break,good training when you start. you learn the systems quickly,long hours on call with a short break,3,Former Employee,Technical Support Specialist,Company E,2013
3673,Not what was promised,layoffs and low pay defined my time there,the pay arrived on time,low pay for the hours asked,2,Current Employee,Software Engineer,Company K,2014
3674,Okay overall,"no job security, they let people go without warning",good benefits while they lasted,job security disappeared after the change,3,Current Employee,Technical Support Specialist,Company F,2019
3675,Poor management,management expects a lot and gives little support,one decent team lead. a few good supervisors,upper management expects too much,2,Former Employee,Software Engineer,Company D,2015
3676,Great place to work,good career opportunities across a strong organisation,career development is taken seriously. strong culture and real career opportunities,a large organisation moves slowly,5,Former Employee,Data Analyst,Company A,2012
3677,Average employer,the company cut people every year and the pay never changed,decent pay at the start. the pay arrived on time. good benefits while they lasted,job security disappeared after the change. constant layoffs every year,3,Former Employee,Software Engineer,Company B,2020
3678,Mixed experience,provided customer support on the service product. supported the project team and delivered the service,clear role and steady service work. clear process and a supportive project team,too much process for a small project,3,Former Employee,Systems Administrator,Company I,2015
3679,Would recommend,the work environment is good and the people are great. a great company with a good culture,great place to work. good work environment. great opportunity to learn,little to complain about. nothing serious to note,5,Current Employee,Project Manager,Company B,2020
3680,Good culture,a typical day was enjoyable and i learned something new. enjoyed the work and learned every day,enjoyable typical day. learned a lot from the team,the hardest part was the pace,4,Current Employee,Senior Consultant,Company B,2020
3681,Good culture,a typical day was enjoyable and i learned something new,learned a lot from the team,some days were long. the hardest part was the pace,4,Former Employee,Team Lead,Company I,2020
3682,Good company,a great company with a good culture. good place with real opportunity,good benefits and a good environment. great culture and great people,large place so things move slowly. little to complain about,5,Former Employee,Network Engineer,Company J,2015
3683,Good company,great environment and good people to learn from. the work environment is good and the people are great,good people and a strong work environment. great culture and great people,large place so things move slowly,5,Former Employee,Network Engineer,Company J,2019
3684,Solid employer,good career opportunities across a strong organisation. the culture and the technology gave me a career path,strong culture and real career opportunities. a supportive organisation,career progress can be slow,5,Former Employee,Software Engineer,Company C,2017
3685,Enjoyed my time,the office and the computer setup shaped the day,a helpful office and a clean center. good computer equipment,the office equipment is old. the call center office felt dated,4,Current Employee,Customer Service Representative,Company F,2015
3686,Enjoyed my time,good career opportunities across a strong organisation,career development is taken seriously,a large organisation moves slowly,4,Former Employee,Customer Service Representative,Company E,2018
3687,Okay overall,handled calls all day with a short break. long hours answering calls for low pay,the health cover was fine,long hours on call with a short break. long hour shifts with a short lunch,3,Former Employee,Software Engineer,Company H,2016
3688,Would recommend,the work environment is good and the people are great. a great company with a good culture,great culture and great people. good work environment,nothing serious to note. the busy period can stretch,5,Former Employee,Team Lead,Company G,2018
3689,Good culture,enjoyed the work and learned every day,the people made the day enjoyable. learned a lot from the team. enjoyable typical day,the hardest part was the pace. some days were long,4,Former Employee,Team Lead,Company K,2020
3690,Enjoyed my time,good place with real opportunity,great opportunity to learn. good work environment. lots of opportunity to grow,large place so things move slowly. little to complain about,5,Current Employee,Business Analyst,Company K,2020
3691,Avoid,management expects a lot and gives little support,a few good supervisors. one decent team lead,no support from management. poor management and no leadership,1,Former Employee,Senior Consultant,Company I,2016
3692,Average employer,long hours answering calls for low pay,good training when you start,long hour shifts with a short lunch. long hours on call with a short break,3,Former Employee,Project Manager,Company J,2016
3693,Would recommend,good career opportunities across a strong organisation,good technology and interesting clients. a supportive organisation,career progress can be slow. a large organisation moves slowly,5,Current Employee,Project Manager,Company H,2013
